ID,SubVehID,Choice,Gap,RelativeSpeed,TW
1,9,2,12.053,-0.927,0
2,13,1,16.3285,2.448,1
3,13,3,15.691,1.845,1
4,13,1,15.028,0.999,1
5,36,2,12.903,0.144,0
6,47,3,15.028,0.54,0
7,74,3,14.9345,2.952,1
8,76,3,14.2715,-1.602,1
9,77,3,14.586,3.24,0
10,77,1,16.048,4.257,0
11,78,3,14.4245,1.485,0
12,82,1,14.9515,-1.575,0
13,82,3,15.9885,-0.54,0
14,82,2,15.5125,-0.63,0
15,86,3,16.8045,5.526,1
16,86,3,14.671,-1.179,0
17,87,3,16.303,1.431,0
18,87,3,15.8525,1.089,0
19,95,2,13.192,-3.573,1
20,95,1,15.249,-0.414,1
21,95,1,15.759,-0.495,1
22,98,2,13.651,-2.133,0
23,102,3,13.6595,0.243,0
24,109,3,14.722,2.358,0
25,111,1,15.164,0.054,1
26,111,3,14.331,0.117,1
27,113,3,16.7195,0.387,0
28,122,3,15.555,0.189,0
29,122,3,17.1615,0.801,0
30,125,3,16.83,1.089,1
31,125,2,12.8435,-1.611,0
32,143,1,16.371,1.305,0
33,160,3,16.0905,-0.027,0
34,168,1,13.3875,-3.177,1
35,172,1,13.94,-0.603,0
36,186,1,13.3535,-3.195,0
37,187,3,16.8725,6.516,1
38,193,3,16.0905,1.845,1
39,199,1,16.7025,-0.351,0
40,199,2,14.7815,-0.216,0
41,199,3,16.9915,0.522,0
42,199,1,16.405,-0.387,0
43,199,3,15.6825,1.773,0
44,199,3,16.167,-0.531,0
45,201,2,16.677,0.288,0
46,201,1,12.7245,-2.493,0
47,204,3,19.754,9.504,1
48,204,2,20.0685,10.224,1
49,205,2,14.7305,-3.024,0
50,205,1,16.303,-1.449,0
51,205,3,17.714,1.8,0
52,207,3,17.901,-1.242,0
53,207,1,13.8295,-2.691,0
54,207,3,15.7675,-0.333,0
55,207,3,16.9575,0.702,0
56,209,3,17.7055,-1.242,0
57,209,3,21.0375,2.025,0
58,209,3,18.3005,-0.27,0
59,209,1,15.572,-2.385,0
60,223,1,16.983,0.09,1
61,223,3,17.4505,3.366,1
62,223,3,16.6175,7.884,1
63,231,3,14.62,0,1
64,231,1,16.473,2.403,1
65,231,3,15.6145,2.25,1
66,240,3,13.5065,2.871,1
67,240,3,14.926,3.582,1
68,240,3,13.5745,0.549,1
69,240,3,13.8975,1.89,1
70,242,1,14.9005,-1.377,0
71,242,3,14.6795,0.054,0
72,245,1,14.6285,1.359,1
73,252,3,12.835,-0.693,0
74,255,1,13.3535,-1.836,0
75,256,3,15.2575,0.333,1
76,260,1,13.2515,0.828,1
77,260,1,12.971,-0.531,1
78,260,3,12.002,0.918,1
79,265,3,13.141,0.864,0
80,266,2,14.9345,1.89,1
81,271,1,13.311,-2.898,0
82,278,2,9.86,-4.068,1
83,281,1,12.5035,-4.32,1
84,281,1,12.4355,-3.105,1
85,282,1,13.3705,0.693,1
86,284,3,15.7335,0.882,0
87,284,3,16.796,4.761,0
88,285,1,13.1155,0.522,0
89,285,3,13.9315,1.422,0
90,304,1,15.623,-2.286,1
91,308,3,15.4105,4.419,1
92,310,3,18.666,4.68,1
93,311,3,17.3145,2.268,0
94,311,3,14.6455,0.567,0
95,315,1,16.269,-0.594,0
96,317,2,15.487,3.411,1
97,320,1,16.8215,-0.45,1
98,320,3,17.153,-0.999,1
99,320,3,16.2095,-0.036,1
100,320,1,16.9745,1.044,1
101,320,3,17.374,1.323,1
102,322,2,15.3595,0.468,0
103,323,2,16.15,-2.772,0
104,328,1,14.093,-7.092,0
105,328,3,17.0085,1.764,0
106,334,2,14.6285,-2.205,0
107,339,3,19.074,1.368,0
108,341,3,15.215,1.377,0
109,341,1,16.2605,4.059,0
110,344,3,18.734,2.826,0
111,344,3,15.9885,2.043,0
112,345,1,21.1735,2.979,0
113,345,2,15.657,-2.727,0
114,345,1,15.6145,-0.693,0
115,361,1,12.546,-3.555,0
116,379,1,12.6735,0.576,0
117,380,3,14.4075,1.962,0
118,380,3,13.43,2.295,0
119,383,3,13.7275,0.27,0
120,383,3,12.7585,0.936,0
121,383,3,13.141,0.441,0
122,390,2,14.501,-0.765,0
123,393,1,12.1125,-1.89,0
124,395,2,17.901,1.368,0
125,395,1,12.4355,-0.09,0
126,395,3,13.056,1.143,0
127,396,3,12.6055,0.18,0
128,398,3,15.725,-1.917,0
129,398,1,12.7245,-0.063,0
130,410,1,13.3365,-0.612,0
131,410,3,13.5745,-0.279,0
132,410,1,11.7555,-1.269,0
133,410,3,12.3845,0.09,0
134,457,3,17.561,0.117,0
135,457,1,15.6995,-1.935,0
136,464,1,15.759,3.609,1
137,464,1,18.564,-1.251,0
138,465,1,14.9685,-1.575,0
139,465,1,13.9145,-0.54,0
140,469,2,16.677,1.521,0
141,469,3,16.4985,1.395,0
142,470,1,14.96,-1.188,0
143,471,1,15.4955,-1.152,0
144,472,2,17.3995,4.392,1
145,472,1,16.626,3.222,1
146,473,3,20.2385,4.446,0
147,473,3,17.68,3.105,0
