ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted,Predicted_1,Predicted_2,,,,,,,
1,9,1,12,0,0,0,0,0,,0,0,0,,,
2,13,0,16,2,1,2,2,2,,0,0,0,,,
3,13,2,15,1,1,2,2,2,,1,1,1,,,
4,13,0,15,0,1,0,0,0,,1,1,1,,,
5,36,1,12,0,0,0,0,0,,0,0,0,,,
6,47,2,15,0,0,2,2,2,,1,1,1,,,
7,74,2,14,2,1,2,2,2,,1,1,1,,,
8,76,2,14,-1,1,0,0,0,,0,0,0,,,
9,77,2,14,3,0,2,2,2,,1,1,1,,,
10,77,0,16,4,0,2,2,2,,0,0,0,,,
11,78,2,14,1,0,2,2,2,,1,1,1,,,
12,82,0,14,-1,0,0,0,0,,1,1,1,,,
13,82,2,15,0,0,2,2,2,,1,1,1,,,
14,82,1,15,0,0,2,2,2,,0,0,0,,,
15,86,2,16,5,1,2,2,2,,1,1,1,,,
16,86,2,14,-1,0,0,0,0,,0,0,0,,,
17,87,2,16,1,0,2,2,2,,1,1,1,,,
18,87,2,15,1,0,2,2,2,,1,1,1,,,
19,95,1,13,-3,1,0,0,0,,0,0,0,,,
20,95,0,15,0,1,0,0,0,,1,1,1,,,
21,95,0,15,0,1,0,0,0,,1,1,1,,,
22,98,1,13,-2,0,0,0,0,,0,0,0,,,
23,102,2,13,0,0,0,0,0,,0,0,0,,,
24,109,2,14,2,0,2,2,2,,1,1,1,,,
25,111,0,15,0,1,0,0,0,,1,1,1,,,
26,111,2,14,0,1,0,0,0,,0,0,0,,,
27,113,2,16,0,0,2,2,2,,1,1,1,,,
28,122,2,15,0,0,2,2,2,,1,1,1,,,
29,122,2,17,0,0,2,2,2,,1,1,1,,,
30,125,2,16,1,1,2,2,2,,1,1,1,,,
31,125,1,12,-1,0,0,0,0,,0,0,0,,,
32,143,0,16,1,0,2,2,2,,0,0,0,,,
33,160,2,16,0,0,2,2,2,,1,1,1,,,
34,168,0,13,-3,1,0,0,0,,1,1,1,,,
35,172,0,13,0,0,0,0,0,,1,1,1,,,
