ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted
1,9,2,12,0,0,0
2,13,1,16,2,1,2
3,13,3,15,1,1,2
4,13,1,15,0,1,0
5,36,2,12,0,0,0
6,47,3,15,0,0,2
7,74,3,14,2,1,2
8,76,3,14,-1,1,0
9,77,3,14,3,0,2
10,77,1,16,4,0,2
11,78,3,14,1,0,2
12,82,1,14,-1,0,0
13,82,3,15,0,0,2
14,82,2,15,0,0,2
15,86,3,16,5,1,2
16,86,3,14,-1,0,0
17,87,3,16,1,0,2
18,87,3,15,1,0,2
19,95,2,13,-3,1,0
20,95,1,15,0,1,0
21,95,1,15,0,1,0
22,98,2,13,-2,0,0
23,102,3,13,0,0,0
24,109,3,14,2,0,2
25,111,1,15,0,1,0
26,111,3,14,0,1,0
27,113,3,16,0,0,2
28,122,3,15,0,0,2
29,122,3,17,0,0,2
30,125,3,16,1,1,2
31,125,2,12,-1,0,0
32,143,1,16,1,0,2
33,160,3,16,0,0,2
34,168,1,13,-3,1,0
35,172,1,13,0,0,0
36,186,1,13,-3,0,0
37,187,3,16,6,1,2
38,193,3,16,1,1,2
39,199,1,16,0,0,2
40,199,2,14,0,0,2
41,199,3,16,0,0,2
42,199,1,16,0,0,2
43,199,3,15,1,0,2
44,199,3,16,0,0,2
45,201,2,16,0,0,2
46,201,1,12,-2,0,0
47,204,3,19,9,1,2
48,204,2,20,10,1,2
49,205,2,14,-3,0,0
50,205,1,16,-1,0,2
51,205,3,17,1,0,2
52,207,3,17,-1,0,2
53,207,1,13,-2,0,0
54,207,3,15,0,0,2
55,207,3,16,0,0,2
56,209,3,17,-1,0,2
57,209,3,21,2,0,2
58,209,3,18,0,0,2
59,209,1,15,-2,0,0
60,223,1,16,0,1,2
61,223,3,17,3,1,2
62,223,3,16,7,1,2
63,231,3,14,0,1,0
64,231,1,16,2,1,2
65,231,3,15,2,1,2
66,240,3,13,2,1,2
67,240,3,14,3,1,2
68,240,3,13,0,1,0
69,240,3,13,1,1,0
70,242,1,14,-1,0,0
71,242,3,14,0,0,2
72,245,1,14,1,1,2
73,252,3,12,0,0,0
74,255,1,13,-1,0,0
75,256,3,15,0,1,0
76,260,1,13,0,1,0
77,260,1,12,0,1,0
78,260,3,12,0,1,0
79,265,3,13,0,0,0
80,266,2,14,1,1,2
81,271,1,13,-2,0,0
82,278,2,9,-4,1,0
83,281,1,12,-4,1,0
84,281,1,12,-3,1,0
85,282,1,13,0,1,0
86,284,3,15,0,0,2
87,284,3,16,4,0,2
88,285,1,13,0,0,0
89,285,3,13,1,0,2
90,304,1,15,-2,1,0
91,308,3,15,4,1,2
92,310,3,18,4,1,2
93,311,3,17,2,0,2
94,311,3,14,0,0,2
95,315,1,16,0,0,2
96,317,2,15,3,1,2
97,320,1,16,0,1,2
98,320,3,17,0,1,2
99,320,3,16,0,1,2
100,320,1,16,1,1,2
101,320,3,17,1,1,2
102,322,2,15,0,0,2
103,323,2,16,-2,0,0
104,328,1,14,-7,0,0
105,328,3,17,1,0,2
106,334,2,14,-2,0,0
107,339,3,19,1,0,2
108,341,3,15,1,0,2
109,341,1,16,4,0,2
110,344,3,18,2,0,2
111,344,3,15,2,0,2
112,345,1,21,2,0,2
113,345,2,15,-2,0,0
114,345,1,15,0,0,2
115,361,1,12,-3,0,0
116,379,1,12,0,0,0
117,380,3,14,1,0,2
118,380,3,13,2,0,2
119,383,3,13,0,0,0
120,383,3,12,0,0,0
121,383,3,13,0,0,0
122,390,2,14,0,0,2
123,393,1,12,-1,0,0
124,395,2,17,1,0,2
125,395,1,12,0,0,0
126,395,3,13,1,0,2
127,396,3,12,0,0,0
128,398,3,15,-1,0,0
129,398,1,12,0,0,0
130,410,1,13,0,0,0
131,410,3,13,0,0,0
132,410,1,11,-1,0,0
133,410,3,12,0,0,0
134,457,3,17,0,0,2
135,457,1,15,-1,0,0
136,464,1,15,3,1,2
137,464,1,18,-1,0,2
138,465,1,14,-1,0,0
139,465,1,13,0,0,0
140,469,2,16,1,0,2
141,469,3,16,1,0,2
142,470,1,14,-1,0,0
143,471,1,15,-1,0,0
144,472,2,17,4,1,2
145,472,1,16,3,1,2
146,473,3,20,4,0,2
